step,before_rows,after_rows,dropped_rows
require_columns,43690,43690,0
parse_week_dropna,43690,43690,0
restrict_start_week,43690,43690,0
restrict_target_platforms,43690,43690,0
ensure_market_id,43690,43690,0
drop_missing_nonfinite_numeric,43690,43690,0
drop_thin_collection_weeks,43690,17290,26400
drop_thin_platform_activity,17290,15969,1321
restrict_royalty_rate_range,15969,15969,0
clip_enforcement_credibility,15969,15969,0
drop_nonpositive_price_volume,15969,15969,0
winsorize_avg_trade_price_eth,15969,15969,0
winsorize_total_secondary_volume_eth,15969,15969,0
winsorize_ct_volume_total_eth,15969,15969,0
winsorize_trades,15969,15969,0
winsorize_ct_trades_total,15969,15969,0
clip_share_columns,15969,15969,0
recompute_effective_total_cost_rate_pct,15969,15969,0
pair_level_keep_only_complete_markets,15969,14648,1321
