moment,data,model
count_alpha,"[ 126.,  52.,1178.,4933., 692., 343.]","[ 126.,  52.,1178.,4933., 692., 343.]"
count_kappa_diff,"[ 119., 235., 739., 964.,1532.,2649., 743., 267.,  63.,  12.]","[ 119., 235., 739., 964.,1532.,2649., 743., 267.,  63.,  12.]"
count_tau_diff,"[ 123., 544.,1265., 866.,1323.,1757., 718., 576., 123.,  15.]","[ 123., 544.,1265., 866.,1323.,1757., 718., 576., 123.,  15.]"
mean_share_B,[0.756718],[0.756441]
mean_switch,[0.321844],[0.319718]
share_gap_alpha,"[0.562619,0.634868,0.597877,0.50386 ,0.464241,0.423945]","[0.601525,0.251073,0.619484,0.495462,0.476715,0.477397]"
share_gap_kappa_diff,"[0.612485,0.56228 ,0.585244,0.534466,0.479108,0.506725,0.502539,0.457796,
 0.432863,0.631932]","[0.550033,0.55975 ,0.541711,0.515695,0.51071 ,0.514407,0.496526,0.429903,
 0.391363,0.679617]"
share_gap_tau_diff,"[0.533808,0.556779,0.530055,0.492056,0.503084,0.565988,0.480167,0.405877,
 0.382374,0.333512]","[0.604439,0.559113,0.534766,0.528815,0.500247,0.524167,0.497563,0.432654,
 0.355921,0.15212 ]"
share_hi_price,[0.783646],[0.831397]
share_kappa_parity,[0.742471],[0.751538]
share_lo_price,[0.72979],[0.681485]
share_mint,[0.760256],[0.761363]
share_nonmint,[0.738753],[0.731447]
share_tau_parity,[0.769484],[0.756946]
slope_share_kappa,[-0.119667],[-0.084481]
slope_share_tau,[-0.014106],[-0.022206]
slope_switch_tau,[-0.005402],[-0.003063]
switch_hi_price,[0.273551],[0.172581]
switch_lo_price,[0.370138],[0.466855]
switch_mint,[0.239744],[0.238637]
switch_nonmint,[0.738753],[0.731447]
switch_tau_diff,"[0.387214,0.345142,0.315326,0.335153,0.344544,0.287234,0.310047,0.332521,
 0.366083,0.333244]","[0.363499,0.328758,0.324722,0.331802,0.334962,0.293229,0.297218,0.334902,
 0.352156,0.42394 ]"
switch_tau_parity,[0.311851],[0.311155]
