boot_id,success,message,objective,n_markets,delta_B,lambda_S,phi_K,k0,k1,gamma_S
1,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.1034253295807,7324,0.9613458411493746,0.25757175249123415,5.394407252834316,1.2624078009780568,4.59225073879251,0.8359966513324073
2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.33754260679017,7324,0.8379936913474457,0.16003630599897845,7.378416259803929,2.1854642149464856,5.0,0.9083987012674564
3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,47.29719839251077,7324,0.999533190285382,0.22223057272757846,7.350800303188501,1.1268376490025505,5.0,0.8824703611820555
4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,49.09797333475448,7324,0.9563015758812395,0.24616298013482324,6.626660829951224,1.1249320089532047,3.918137320632084,0.8586923903953947
5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,53.94170255086691,7324,0.9276690893518507,0.1783418128838539,3.8923077412371483,1.5730490224369285,5.0,0.885109846458191
6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,42.20640174540486,7324,0.9296705767997949,0.22775314592528406,4.412035906762279,1.4923301928267159,4.895151620593085,0.799439840560924
7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,43.848784905996595,7324,0.9178182287434741,0.11224730592196179,2.7108060851882025,2.3534358535515794,5.0,0.8976341670034144
8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.605989414924004,7324,0.9537352934658668,0.15285785751724212,3.6636053501244805,1.4066197758394492,5.0,0.8790431012576785
9,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,54.78712651679705,7324,0.9001710978074227,0.16842619464799546,0.6786630224465754,1.7875968339231314,5.0,0.0015368070756736907
10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,48.44553586444109,7324,0.9469429856469344,0.18910924317769834,3.46565193475238,1.4909149354220361,5.0,0.8271168640235691
11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.62247451010343,7324,0.9205072921043616,0.15696235672162656,6.770232517630362,1.7776444225697083,5.0,0.9125911492525202
12,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.810085075187374,7324,0.8913627787016251,0.17702886124726414,7.298309649913205,2.0449739605197528,5.0,0.9038990016760067
13,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,84.33179364847666,7324,0.9481693558839323,0.15607702867075304,6.892141997710792,1.7314887252385127,5.0,0.921725615737028
14,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.02609923328363,7324,0.9298146471249069,0.13264163179001293,0.4713927742473611,1.8603619832141245,5.0,0.007815361957560581
15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56.352041057887256,7324,0.8685237304350648,0.14638896975343063,3.8820840439837205,2.3020490201658803,5.0,0.8760866947631849
16,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,44.27777848400784,7324,0.9432171602838472,0.19022081106696342,5.006183321894278,1.250331630159518,3.7164515076356732,0.8558729564689862
17,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.47583524821979,7324,0.9122184494010286,0.1693224507038144,3.698606527062586,1.7291317865831,5.0,0.8682227789147524
18,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,62.49564463665929,7324,0.9009647651192702,0.16542650207652368,3.763722965717768,1.6412179872610984,5.0,0.8597442758170833
19,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,69.79483355829959,7324,0.8663534240023888,0.23561151746204556,4.245846473248253,1.4496950805930735,3.805828980638717,0.7985792153852596
20,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,66.08381701041337,7324,0.8908849787043421,0.1985055435470038,3.7459737498194503,1.7596518021755916,5.0,0.8194012302226928
21,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,39.01474013997634,7324,0.8920693524771094,0.16217042342319846,1.806646055119,2.0214195758060693,5.0,0.7081864220700486
22,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,37.20162244491567,7324,0.9294439708564491,0.1497323464027238,0.8309757260209039,1.3954064808474014,5.0,0.4505275830216901
23,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,36.42726553522009,7324,0.9012872508083711,0.16741051056479223,0.9660401295849086,1.6561298170778604,5.0,0.38281140970151345
24,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,33.88935351095724,7324,0.9358504583797584,0.1421069563252235,4.080388252911844,1.7400720897890607,5.0,0.9016876699350257
25,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56.32701280794367,7324,0.8942020881178923,0.19893248496232133,1.835287695134884,1.6053241934133862,5.0,0.5503808907767934
26,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,56.5309324910907,7324,0.9422598672937469,0.034860724047422076,-3.8731845439719335,6.2680530044874505,5.0,0.8967178010097628
27,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.89139173667816,7324,0.9245822093928289,0.1642992404643619,5.006715796986846,1.8131509017557108,5.0,0.9124645025239293
28,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,40.28526122178471,7324,0.9139600893989257,0.13655255294139176,2.90748793017995,2.106981543617591,5.0,0.8630227737582773
29,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,50.50741427502648,7324,0.9497533077572022,0.22447729184232204,4.987547622905409,1.4102451771819335,5.0,0.8247772853123486
30,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,59.81131780409093,7324,0.9117382101187909,0.20487658801106656,5.638657498256913,1.3860422942444917,3.368530014917141,0.858733388309859
