bin_lo,bin_hi,count,data_mean,data_sd,model_mean,model_sd,resid
-1.0,-0.75,119,0.6124854292675929,0.4311925852169371,0.5500326194115801,0.22383785694206734,-0.06245280985601276
-0.75,-0.5,235,0.5622797217979699,0.4259993752297056,0.5597497040206248,0.22861676773891182,-0.0025300177773450727
-0.5,-0.25,739,0.5852444217667717,0.40302105860071125,0.5417106415531329,0.2625457253687186,-0.04353378021363885
-0.25,-0.1,964,0.5344662667605522,0.41067962240331357,0.5156948062526163,0.31479140593677835,-0.018771460507935878
-0.1,0.0,1532,0.479108022483282,0.42572787849973087,0.5107095711876029,0.31459382828442534,0.03160154870432086
0.0,0.1,2649,0.5067246212585904,0.4335211251993459,0.5144068889579703,0.3031766081875848,0.007682267699379852
0.1,0.25,743,0.5025388071436618,0.4258818256606886,0.4965257904926545,0.30801037412861565,-0.006013016651007341
0.25,0.5,267,0.4577955766119323,0.482496276246418,0.4299030364160521,0.32774356943490357,-0.027892540195880222
0.5,0.75,63,0.43286326312026,0.4946547882694175,0.39136306755779915,0.3873821427515777,-0.04150019556246087
0.75,1.0,12,0.6319318300952514,0.4277175976753036,0.6796167590841659,0.297338851896967,0.04768492898891441
